Date,HSI Close
4/8/2009,14474.86
5/8/2009,17389.87
6/8/2009,18253.39
7/8/2009,17721.07
9/8/2009,21069.81
10/8/2009,21492.9
12/8/2009,22060.52
1/9/2009,14377.44
2/9/2009,13769.06
3/9/2009,11344.58
4/9/2009,14901.41
6/9/2009,18058.49
7/9/2009,17790.59
9/9/2009,20851.04
10/9/2009,21499.44
11/9/2009,22207.55
12/9/2009,21741.76
2/10/2009,13880.64
3/10/2009,11694.05
6/10/2009,18785.66
7/10/2009,17708.42
8/10/2009,20929.52
9/10/2009,21069.56
11/10/2009,22268.16
12/10/2009,21700.04
2/11/2009,13539.21
3/11/2009,11930.66
5/11/2009,17087.95
6/11/2009,18791.03
8/11/2009,21074.21
9/11/2009,21161.42
11/11/2009,22627.21
12/11/2009,21902.11
1/12/2009,13971
2/12/2009,13228.3
3/12/2009,12001.53
5/12/2009,17153.64
6/12/2009,18889.68
8/12/2009,20435.24
10/12/2009,21299.35
11/12/2009,22397.57
2/1/2010,20243.75
3/1/2010,21056.93
4/1/2010,21537
6/1/2010,19496.95
9/1/2010,20623.83
11/1/2010,23652.94
12/1/2010,23249.8
2/2/2010,20272.18
3/2/2010,20906.11
6/2/2010,19471.8
7/2/2010,19905.32
8/2/2010,21412.79
9/2/2010,20868.92
11/2/2010,23671.42
12/2/2010,23448.78
2/3/2010,20722.08
3/3/2010,20876.79
5/3/2010,20811.36
6/3/2010,19786.71
8/3/2010,21457.66
9/3/2010,20971.5
11/3/2010,24144.67
12/3/2010,23320.52
1/4/2010,21823.28
2/4/2010,20341.64
3/4/2010,20575.78
5/4/2010,20763.05
6/4/2010,19780.07
8/4/2010,21549.88
10/4/2010,22618.66
11/4/2010,24535.63
1/5/2010,22279.58
2/5/2010,19665.08
3/5/2010,20787.97
5/5/2010,20327.54
7/5/2010,19842.2
8/5/2010,21551.72
10/5/2010,22639.14
11/5/2010,24876.82
1/6/2010,22416.67
5/6/2010,20133.41
7/6/2010,20084.12
8/6/2010,21678.8
9/6/2010,21355.77
10/6/2010,22880.41
12/6/2010,23237.69
1/7/2010,22269.45
4/7/2010,21928.77
5/7/2010,19920.29
6/7/2010,19378.15
7/7/2010,19857.07
9/7/2010,21401.79
10/7/2010,22884.32
12/7/2010,23428.15
1/8/2010,22296.75
2/8/2010,19550.89
3/8/2010,21196.87
4/8/2010,21867.04
6/8/2010,19487.48
7/8/2010,20050.56
9/8/2010,21088.86
10/8/2010,22944.18
11/8/2010,24964.37
12/8/2010,23092.52
2/9/2010,19790.28
3/9/2010,21207.55
4/9/2010,22208.5
6/9/2010,19621.24
7/9/2010,20378.66
8/9/2010,21801.59
9/9/2010,21167.27
11/9/2010,24710.6
12/9/2010,23171.8
2/10/2010,19922.22
3/10/2010,21208.29
5/10/2010,20426.64
6/10/2010,19632.7
8/10/2010,21473.6
9/10/2010,21257.39
11/10/2010,24500.61
12/10/2010,23162.91
1/11/2010,22411.52
2/11/2010,20290.69
3/11/2010,21228.2
5/11/2010,20146.51
6/11/2010,19872.38
8/11/2010,21294.54
10/11/2010,23207.31
11/11/2010,24700.3
1/12/2010,22326.64
2/12/2010,20268.69
3/12/2010,21209.74
4/12/2010,22138.17
5/12/2010,20212.49
7/12/2010,20467.43
8/12/2010,21105.71
10/12/2010,23121.7
11/12/2010,24222.58
2/1/2011,23482.95
3/1/2011,23396.42
4/1/2011,23801.9
6/1/2011,23626.43
8/1/2011,22663.37
9/1/2011,20585.33
11/1/2011,19369.96
12/1/2011,19002.26
2/2/2011,23908.96
3/2/2011,23048.66
6/2/2011,23253.84
8/2/2011,22421.46
9/2/2011,20212.91
11/2/2011,19733.71
12/2/2011,19040.39
1/3/2011,23436.05
3/3/2011,23122.42
5/3/2011,23633.25
6/3/2011,22949.56
8/3/2011,21992.72
10/3/2011,16822.15
11/3/2011,19242.5
1/4/2011,23668.48
3/4/2011,23408.86
4/4/2011,24150.58
5/4/2011,23315.24
7/4/2011,22770.47
8/4/2011,21884.74
10/4/2011,16250.27
11/4/2011,19842.79
1/5/2011,23757.82
5/5/2011,23261.61
7/5/2011,22747.95
8/5/2011,20946.14
9/5/2011,19616.4
12/5/2011,19179.69
1/6/2011,23786.3
4/6/2011,24285.05
5/6/2011,23159.14
7/6/2011,22517.55
9/6/2011,19710.5
10/6/2011,17172.28
12/6/2011,18942.23
1/7/2011,23686.63
2/7/2011,23553.59
3/7/2011,23313.19
4/7/2011,24281.8
6/7/2011,22868.67
7/7/2011,22530.18
9/7/2011,20048
10/7/2011,17707.01
11/7/2011,19677.89
12/7/2011,19240.58
2/8/2011,23484.3
3/8/2011,23711.7
4/8/2011,24396.07
6/8/2011,22661.63
7/8/2011,22726.43
8/8/2011,20490.57
9/8/2011,19912.82
11/8/2011,19678.47
12/8/2011,19107.81
2/9/2011,23164.03
3/9/2011,23810.11
5/9/2011,23336
6/9/2011,22609.83
8/9/2011,19330.7
9/9/2011,19866.63
11/9/2011,20014.43
12/9/2011,18586.23
1/10/2011,23527.26
2/10/2011,22708.62
3/10/2011,23614.89
6/10/2011,22420.37
8/10/2011,19783.67
10/10/2011,17711.06
11/10/2011,18963.89
1/11/2011,23760.34
2/11/2011,22828.92
3/11/2011,23249.78
4/11/2011,24303.07
5/11/2011,23291.8
7/11/2011,22347.23
8/11/2011,19595.14
10/11/2011,18141.59
11/11/2011,19137.17
1/12/2011,24125.61
4/12/2011,23976.37
5/12/2011,23073.76
7/12/2011,21663.16
8/12/2011,19620.01
9/12/2011,19030.54
10/12/2011,18329.46
12/12/2011,18575.66
2/1/2012,20333.37
3/1/2012,21387.96
6/1/2012,18558.34
8/1/2012,19820.38
11/1/2012,21821.87
2/2/2012,20739.45
3/2/2012,21562.26
4/2/2012,20522.26
5/2/2012,21309.08
8/2/2012,19690.2
11/2/2012,22111.33
1/3/2012,18877.41
2/3/2012,20756.98
4/3/2012,20790.98
5/3/2012,21249.53
7/3/2012,19735.53
