Date, Open, High, Low, Close
6/3/2019,26909.71,26968.1,26735.48,26893.86
05/31/19,27002.96,27155.36,26850.27,26901.09
05/30/19,27319.25,27319.25,27020.73,27114.88
05/29/19,27226.95,27429.37,27178.71,27235.71
05/28/19,27274.83,27490.55,27230.09,27390.81
05/27/19,27239.08,27371.35,27105.22,27288.09
05/24/19,27368.68,27457.59,27291.94,27353.93
05/23/19,27505.53,27523.86,27169.67,27267.13
05/22/19,27753.54,27828.81,27640.62,27705.94
05/21/19,27671.4,27915.16,27598.06,27657.24
05/20/19,27959.23,27999.6,27699.23,27787.61
05/17/19,28428,28428,27909.73,27946.46
05/16/19,28117.48,28379.37,28050.78,28275.07
05/15/19,28171.32,28441.49,28171.32,28268.71
05/14/19,27951.12,28205.96,27925.62,28122.02
5/10/2019,28462.34,28833.45,28203.22,28550.24
5/9/2019,28839.35,28891.11,28281.98,28311.07
5/8/2019,28987.09,29252,28945.91,29003.2
5/7/2019,29313.58,29480.04,29156.45,29363.02
5/6/2019,29342.38,29384.01,28956.47,29209.82
5/3/2019,29818.48,30081.55,29678.86,30081.55
5/2/2019,29643.05,29967.74,29643.05,29944.18
04/30/19,29828.15,29855.76,29620.45,29699.11
04/29/19,29730.85,29917.11,29639.38,29892.81
04/26/19,29513.08,29672.79,29504.14,29605.01
04/25/19,29667.52,29849.7,29535.2,29549.8
04/24/19,30112.19,30112.19,29682.87,29805.83
04/23/19,29782.95,30055.94,29755.87,29963.24
04/18/19,30088.65,30101.83,29896.86,29963.26
04/17/19,30160.69,30178.58,30004.97,30124.68
04/16/19,29754.3,30142.86,29665.11,30129.87
04/15/19,30119.85,30280.12,29810.72,29810.72
4/12/2019,29806.35,29909.76,29694.85,29909.76
4/11/2019,30138.14,30184.61,29783.67,29839.45
4/10/2019,30052.27,30139.61,29892.62,30119.56
4/9/2019,30065.99,30222.02,30018.98,30157.49
4/8/2019,30119.58,30185.06,29913.62,30077.15
4/4/2019,29950.42,30050.91,29765.55,29936.32
4/3/2019,29785.27,29999.34,29715.77,29986.39
4/2/2019,29736.99,29736.99,29534.42,29624.67
4/1/2019,29383.72,29612.37,29383.72,29562.02
03/29/19,28812.64,29100.69,28761.88,29051.36
03/28/19,28663.2,28816.59,28558.8,28775.21
03/27/19,28564.71,28781.63,28551.65,28728.25
03/26/19,28677.76,28701.6,28435.06,28566.91
03/25/19,28501.37,28702.24,28463.11,28523.35
03/22/19,29173.33,29243.1,28847.34,29113.36
03/21/19,29387.75,29446.77,29051.85,29071.56
03/20/19,29357.19,29435.81,29251.25,29320.97
03/19/19,29419.14,29486.15,29319.51,29466.28
03/18/19,29112.44,29409.01,29034.13,29409.01
03/15/19,28843.86,29204.73,28828.26,29012.26
03/14/19,28891.06,28932.47,28696.31,28851.39
03/13/19,28924.28,28924.28,28690.37,28807.45
3/12/2019,28760.27,28941.09,28734.09,28920.87
3/11/2019,28265.85,28512.27,28240.78,28503.3
3/8/2019,28409.14,28533.76,28201.09,28228.42
3/7/2019,28965.42,29007.07,28772.45,28779.45
3/6/2019,29003.25,29122.81,28938.39,29037.6
3/5/2019,28823.16,29025.79,28734.81,28961.6
3/4/2019,28855.11,29241.8,28760.67,28959.59
3/1/2019,28716.6,28860.2,28663.71,28812.17
02/28/19,28719.71,28917.49,28571.13,28633.18
02/27/19,28833.16,29014.19,28701.47,28757.44
02/26/19,28971.23,28971.23,28700.01,28772.06
02/25/19,28975.52,29009.98,28763.46,28959.3
02/22/19,28478.96,28816.3,28430.2,28816.3
02/21/19,28450,28759.35,28364.85,28629.92
02/20/19,28404.68,28599.77,28357.3,28514.05
02/19/19,28440.49,28488.97,28208.87,28228.13
02/18/19,28186.75,28412.08,28186.75,28347.01
02/15/19,28241.44,28256.69,27845.87,27900.84
02/14/19,28396.4,28476.65,28275.18,28432.05
02/13/19,28184.87,28533.36,28160.46,28497.59
2/12/2019,28093.31,28219.59,27983.48,28171.33
2/11/2019,27927.45,28143.84,27847.85,28143.84
2/8/2019,27708.13,28008.82,27534.2,27946.32
2/4/2019,27985.42,28005.15,27847.43,27990.21
2/1/2019,28193.28,28193.28,27802.5,27930.74
01/31/19,27842.05,28010.9,27773.98,27942.47
01/30/19,27571.41,27642.85,27369.75,27642.85
01/29/19,27397.54,27575.37,27328.17,27531.68
01/28/19,27695.81,27790.22,27462.37,27576.96
01/25/19,27282.88,27569.19,27217.75,27569.19
01/24/19,27075.37,27120.98,26889.79,27120.98
01/23/19,26879.91,27131.22,26879.91,27008.2
01/22/19,27189.4,27223.7,26854.66,27005.45
01/21/19,27134.27,27323.61,27084.3,27196.54
01/18/19,26993.44,27116.65,26915.08,27090.81
01/17/19,26953.21,27012.19,26703.31,26755.63
01/16/19,26702.93,26903.78,26567.52,26902.1
01/15/19,26518.62,26838.55,26427.45,26830.29
01/14/19,26559.68,26575.33,26195.78,26298.33
1/11/2019,26692.02,26692.02,26494.86,26667.27
1/10/2019,26391.78,26588.21,26212.34,26521.43
1/9/2019,26237.29,26597.07,26192.65,26462.32
1/8/2019,25852.5,25960.89,25688.5,25875.45
1/7/2019,26015.84,26043.64,25753.46,25835.7
1/4/2019,24946.12,25626.03,24924.73,25626.03
1/3/2019,25077.68,25262.21,24896.87,25064.36
1/2/2019,25824.44,25824.44,25055.27,25130.35
12/31/18,25732.52,25916.23,25682.66,25845.7
12/28/18,25502.34,25600.25,25416.36,25504.2
12/27/18,25818.81,25920.63,25446.8,25478.88
12/24/18,25515.4,25651.38,25421.43,25651.38
12/21/18,25512.3,25805.61,25313.75,25753.42
12/20/18,25723.53,25859.82,25416.88,25623.53
12/19/18,25860.68,25925.99,25784.09,25865.39
12/18/18,25903.98,26152.88,25713.5,25814.25
12/17/18,26178.04,26186.3,26002.3,26087.98
12/14/18,26219,26219,26061.47,26094.79
12/13/18,26417.89,26581.93,26314.77,26524.35
12/12/2018,26054.01,26238.73,26013.36,26186.71
12/11/2018,25623.4,25861.73,25623.4,25771.67
12/10/2018,25794.95,25845.34,25570.89,25752.38
12/7/2018,26249.81,26280.66,26055.78,26063.76
12/6/2018,26349.42,26381.12,26016.09,26156.38
12/5/2018,26745.69,26914.87,26745.69,26819.68
12/4/2018,27119.19,27260.44,26984.71,27260.44
12/3/2018,27185.66,27259.43,27006.83,27182.04
11/30/18,26506.09,26683.25,26396.62,26506.75
11/29/18,26904.21,26923.33,26399.81,26451.03
11/28/18,26406.68,26705.3,26332.66,26682.56
11/27/18,26345.37,26417.84,26158.97,26331.96
11/26/18,26099.35,26413.76,26031.9,26376.18
11/23/18,25950.07,25983.25,25807.26,25927.68
11/22/18,26139.39,26139.39,25873.38,26019.41
11/21/18,25496.85,25998.28,25494.51,25971.47
11/20/18,26043.51,26132.29,25776.22,25840.34
11/19/18,26278.87,26397.39,26146.39,26372
11/16/18,26041.56,26197.31,25850.04,26183.53
11/15/18,25862.18,26127.14,25611.72,26103.34
11/14/18,25874.36,25874.36,25489.86,25654.43
11/13/18,25092.3,25792.87,25092.3,25792.87
11/12/2018,25576.28,25765.96,25505.33,25633.18
11/9/2018,25925.09,25925.09,25475.32,25601.92
11/8/2018,26491.27,26491.27,26141.25,26227.72
11/7/2018,26125.09,26530.87,25920.72,26147.69
11/6/2018,26062.24,26159.83,25826.69,26120.96
11/5/2018,26050.34,26146.81,25747.52,25934.39
11/2/2018,25980.44,26486.35,25909.71,26486.35
11/1/2018,25228.75,25535.12,25190.9,25416
10/31/18,24752.83,24979.69,24700.11,24979.69
10/30/18,24765.12,24939.18,24540.63,24585.53
10/29/18,24955.79,24955.79,24594.74,24812.04
10/26/18,25031.49,25062.2,24589.04,24717.63
10/25/18,24766.72,24994.46,24653.79,24994.46
10/24/18,25401.17,25653.36,25194.29,25249.78
10/23/18,26015.49,26015.49,25315.76,25346.55
10/22/18,25668.33,26234.86,25668.33,26153.15
10/19/18,25172.03,25743.45,25090.3,25561.4
10/18/18,25674.66,25674.66,25261.72,25454.55
10/16/18,25586.16,25712.13,25266.54,25462.26
10/15/18,25683.59,25683.59,25399.54,25445.06
10/12/2018,25401.41,25835.76,25286.86,25801.49
10/11/2018,25392.9,25437.85,25125.22,25266.37
10/10/2018,26281.28,26499.84,26193.07,26193.07
10/9/2018,26194.17,26366.6,26067.51,26172.91
10/8/2018,26717.6,26717.6,26187.83,26202.57
10/5/2018,26503.75,26639.64,26373.46,26572.57
10/4/2018,27029.4,27029.4,26551.44,26623.87
10/3/2018,26840.2,27270.16,26840.2,27091.26
10/2/2018,27716.16,27716.16,27073.08,27126.38
09/28/18,27879.06,27927.95,27672.83,27788.52
09/27/18,27912.51,27928.29,27638.54,27715.67
09/26/18,27606.81,28031.81,27589.37,27816.87
09/24/18,27783.85,27783.85,27425.01,27499.39
09/21/18,27712.35,27965.96,27536.27,27953.58
09/20/18,27605.72,27628.19,27327.23,27477.67
09/19/18,27170.02,27488.35,27085.79,27407.37
09/18/18,26846.33,27156.55,26648.99,27084.66
09/17/18,27029.91,27037.48,26763.21,26932.85
09/14/18,27229.79,27340.02,27027.45,27286.41
09/13/18,26798.39,27014.49,26648.77,27014.49
9/12/2018,26462.82,26468.91,26219.56,26345.04
9/11/2018,26611.93,26690.65,26394.87,26422.55
9/10/2018,26922.27,26926.63,26453.29,26613.42
9/7/2018,26895.87,27196.57,26669.58,26973.47
9/6/2018,27069.21,27268.39,26818.82,26974.82
