Date,亞歐基金_Price
2016/02/28,123.59
2016/02/29,122.74
2016/03/01,125.64
2016/03/02,127.09
2016/03/03,128.06
2016/03/04,129.03
2016/03/05,129.03
2016/03/06,129.03
2016/03/07,128.96
2016/03/08,127.73
2016/03/09,128.12
2016/03/10,127.93
2016/03/11,130.87
2016/03/12,130.87
2016/03/13,130.87
2016/03/14,130.83
2016/03/15,129.72
2016/03/16,130.61
2016/03/17,131.62
2016/03/18,131.63
2016/03/19,131.63
2016/03/20,131.63
2016/03/21,131.38
2016/03/22,131.18
2016/03/23,130.13
2016/03/24,129.09
2016/03/25,129.09
2016/03/26,129.09
2016/03/27,129.09
2016/03/28,129.09
2016/03/29,130.86
2016/03/30,132.23
2016/03/31,131.06
2016/04/01,129.57
2016/04/02,129.57
2016/04/03,129.57
2016/04/04,129.57
2016/04/05,126.88
2016/04/06,128.7
2016/04/07,127.2
2016/04/08,129.31
2016/04/09,129.31
2016/04/10,129.31
2016/04/11,129.54
2016/04/12,131.09
2016/04/13,133.56
2016/04/14,134.16
2016/04/15,133.79
2016/04/16,133.79
2016/04/17,133.79
2016/04/18,134.54
2016/04/19,136.8
2016/04/20,136.62
2016/04/21,136.45
2016/04/22,136.34
2016/04/23,136.34
2016/04/24,136.34
2016/04/25,135.48
2016/04/26,136.03
2016/04/27,136.06
2016/04/28,134.56
2016/04/29,133.7
2016/04/30,133.7
2016/05/01,133.7
2016/05/02,133.7
2016/05/03,132.48
2016/05/04,131.17
2016/05/05,130.78
2016/05/06,130.71
2016/05/07,130.71
2016/05/08,130.71
2016/05/09,130.57
2016/05/10,132.29
2016/05/11,131.06
2016/05/12,130.84
2016/05/13,129.58
2016/05/14,129.58
2016/05/15,129.58
2016/05/16,131.04
2016/05/17,130.52
2016/05/18,130.19
2016/05/19,129.36
2016/05/20,130.54
2016/05/21,130.54
2016/05/22,130.54
2016/05/23,130.04
2016/05/24,131.71
2016/05/25,133.41
2016/05/26,133.75
2016/05/27,133.79
2016/05/28,133.79
2016/05/29,133.79
2016/05/30,133.88
2016/05/31,133.6
2016/06/01,133.4
2016/06/02,133.59
2016/06/03,134.45
2016/06/04,134.45
2016/06/05,134.45
2016/06/06,135.1
2016/06/07,136.19
2016/06/08,136.43
2016/06/09,136.43
2016/06/10,131.54
2016/06/11,131.54
2016/06/12,131.54
2016/06/13,129.46
2016/06/14,127.62
2016/06/15,128.31
