Date,富達增長基金_Price
2012/11/11,95.19
2012/11/12,95.08
2012/11/13,94.61
2012/11/14,94.51
2012/11/15,93.95
2012/11/16,93.85
2012/11/17,93.85
2012/11/18,93.85
2012/11/19,95.24
2012/11/20,95.24
2012/11/21,95.71
2012/11/22,96.46
2012/11/23,97.3
2012/11/24,97.3
2012/11/25,97.3
2012/11/26,97.1
2012/11/27,97.1
2012/11/28,96.9
2012/11/29,97.75
2012/11/30,97.93
2012/12/01,97.93
2012/12/02,97.93
2012/12/03,97.64
2012/12/04,97.73
2012/12/05,98.29
2012/12/06,98.47
2012/12/07,98.65
2012/12/08,98.65
2012/12/09,98.65
2012/12/10,98.83
2012/12/11,99.01
2012/12/12,99.47
2012/12/13,99.28
2012/12/14,99.56
2012/12/15,99.56
2012/12/16,99.56
2012/12/17,99.54
2012/12/18,99.92
2012/12/19,100.56
2012/12/20,100.65
2012/12/21,99.89
2012/12/22,99.89
2012/12/23,99.89
2012/12/24,99.78
2012/12/25,99.78
2012/12/26,99.78
2012/12/27,100.05
2012/12/28,99.95
2012/12/29,99.95
2012/12/30,99.95
2012/12/31,100.13
2013/01/01,100.13
2013/01/02,102.2
2013/01/03,102.29
2013/01/04,102.66
2013/01/05,102.66
2013/01/06,102.66
2013/01/07,102.64
2013/01/08,101.98
2013/01/09,102.35
2013/01/10,103.1
2013/01/11,103.0
2013/01/12,103.0
2013/01/13,103.0
2013/01/14,103.27
2013/01/15,103.35
2013/01/16,102.98
2013/01/17,103.16
2013/01/18,103.81
2013/01/19,103.81
2013/01/20,103.81
2013/01/21,103.8
2013/01/22,103.98
2013/01/23,103.79
2013/01/24,103.88
2013/01/25,104.15
2013/01/26,104.15
2013/01/27,104.15
2013/01/28,104.04
2013/01/29,104.42
2013/01/30,104.79
2013/01/31,104.59
2013/02/01,104.97
2013/02/02,104.97
2013/02/03,104.97
2013/02/04,104.49
2013/02/05,103.54
2013/02/06,104.01
2013/02/07,103.54
2013/02/08,104.09
2013/02/09,104.09
2013/02/10,104.09
2013/02/11,104.09
