Date,亞洲債券基金_Price
2013/08/10,101.32
2013/08/11,101.32
2013/08/12,101.32
2013/08/13,100.75
2013/08/14,100.75
2013/08/15,100.38
2013/08/16,100.56
2013/08/17,100.56
2013/08/18,100.56
2013/08/19,100.0
2013/08/20,99.9
2013/08/21,99.71
2013/08/22,99.14
2013/08/23,99.33
2013/08/24,99.33
2013/08/25,99.33
2013/08/26,99.62
2013/08/27,99.52
2013/08/28,99.52
2013/08/29,99.62
2013/08/30,99.71
2013/08/31,99.71
2013/09/01,99.71
2013/09/02,99.8
2013/09/03,99.8
2013/09/04,99.99
2013/09/05,99.52
2013/09/06,99.61
2013/09/07,99.61
2013/09/08,99.61
2013/09/09,100.08
2013/09/10,100.27
2013/09/11,100.37
2013/09/12,100.65
2013/09/13,100.46
2013/09/14,100.46
2013/09/15,100.46
2013/09/16,101.12
2013/09/17,101.21
2013/09/18,101.21
2013/09/19,102.44
2013/09/20,102.44
2013/09/21,102.44
2013/09/22,102.44
2013/09/23,102.16
2013/09/24,102.16
2013/09/25,102.06
2013/09/26,102.16
2013/09/27,102.06
2013/09/28,102.06
2013/09/29,102.06
2013/09/30,102.16
2013/10/01,102.16
2013/10/02,102.25
2013/10/03,102.44
2013/10/04,102.53
2013/10/05,102.53
2013/10/06,102.53
2013/10/07,102.44
2013/10/08,102.44
2013/10/09,102.44
2013/10/10,102.25
2013/10/11,102.43
2013/10/12,102.43
2013/10/13,102.43
2013/10/14,102.43
2013/10/15,102.52
2013/10/16,102.52
2013/10/17,103.28
2013/10/18,103.56
2013/10/19,103.56
2013/10/20,103.56
2013/10/21,103.46
2013/10/22,103.56
2013/10/23,103.75
2013/10/24,103.65
2013/10/25,103.74
2013/10/26,103.74
2013/10/27,103.74
2013/10/28,103.74
2013/10/29,103.65
2013/10/30,103.84
2013/10/31,103.55
2013/11/01,103.27
2013/11/02,103.27
2013/11/03,103.27
2013/11/04,103.17
2013/11/05,103.27
2013/11/06,103.26
2013/11/07,103.26
2013/11/08,103.07
2013/11/09,103.07
2013/11/10,103.07
2013/11/11,102.5
2013/11/12,102.31
2013/11/13,102.3
2013/11/14,102.59
2013/11/15,102.68
2013/11/16,102.68
2013/11/17,102.68
2013/11/18,102.87
2013/11/19,103.05
2013/11/20,102.77
2013/11/21,102.11
2013/11/22,102.01
2013/11/23,102.01
2013/11/24,102.01
2013/11/25,102.01
2013/11/26,102.0
2013/11/27,102.0
2013/11/28,101.91
2013/11/29,102.0
2013/11/30,102.0
2013/12/01,102.0
2013/12/02,101.9
2013/12/03,101.9
2013/12/04,101.71
2013/12/05,101.51
2013/12/06,101.61
2013/12/07,101.61
2013/12/08,101.61
2013/12/09,101.89
2013/12/10,102.07
2013/12/11,101.98
2013/12/12,101.6
2013/12/13,101.6
2013/12/14,101.6
2013/12/15,101.6
2013/12/16,101.6
2013/12/17,101.6
2013/12/18,101.59
2013/12/19,101.11
2013/12/20,101.11
2013/12/21,101.11
2013/12/22,101.11
2013/12/23,101.2
2013/12/24,101.2
2013/12/25,101.2
2013/12/26,101.2
2013/12/27,101.1
2013/12/28,101.1
2013/12/29,101.1
2013/12/30,101.09
2013/12/31,101.28
2014/01/01,101.28
2014/01/02,101.09
2014/01/03,101.18
2014/01/04,101.18
2014/01/05,101.18
2014/01/06,101.08
2014/01/07,101.08
2014/01/08,101.08
2014/01/09,100.98
2014/01/10,101.26
2014/01/11,101.26
2014/01/12,101.26
2014/01/13,101.73
2014/01/14,101.73
2014/01/15,101.35
2014/01/16,101.25
2014/01/17,101.35
2014/01/18,101.35
2014/01/19,101.35
2014/01/20,101.34
2014/01/21,101.15
2014/01/22,101.15
2014/01/23,101.05
2014/01/24,101.05
2014/01/25,101.05
2014/01/26,101.05
2014/01/27,101.14
2014/01/28,101.14
2014/01/29,101.23
2014/01/30,101.23
2014/01/31,101.23
2014/02/01,101.23
2014/02/02,101.23
2014/02/03,101.23
2014/02/04,101.69
2014/02/05,101.79
2014/02/06,101.69
2014/02/07,101.69
2014/02/08,101.69
2014/02/09,101.69
2014/02/10,101.78
2014/02/11,101.87
2014/02/12,101.87
2014/02/13,101.96
2014/02/14,102.15
2014/02/15,102.15
2014/02/16,102.15
2014/02/17,102.24
2014/02/18,102.14
2014/02/19,102.14
2014/02/20,101.95
2014/02/21,101.85
2014/02/22,101.85
2014/02/23,101.85
2014/02/24,102.04
2014/02/25,102.13
2014/02/26,102.22
2014/02/27,102.31
2014/02/28,102.41
2014/03/01,102.41
2014/03/02,102.41
2014/03/03,102.31
2014/03/04,102.31
2014/03/05,102.4
2014/03/06,102.59
2014/03/07,102.49
2014/03/08,102.49
2014/03/09,102.49
2014/03/10,102.2
2014/03/11,102.3
2014/03/12,102.29
2014/03/13,102.58
2014/03/14,102.76
2014/03/15,102.76
2014/03/16,102.76
2014/03/17,102.85
2014/03/18,102.85
2014/03/19,102.85
2014/03/20,102.09
2014/03/21,102.09
2014/03/22,102.09
2014/03/23,102.09
2014/03/24,102.18
2014/03/25,102.18
2014/03/26,102.37
2014/03/27,102.65
2014/03/28,102.74
2014/03/29,102.74
2014/03/30,102.74
2014/03/31,102.83
2014/04/01,102.83
2014/04/02,102.64
2014/04/03,102.54
2014/04/04,102.73
2014/04/05,102.73
2014/04/06,102.73
2014/04/07,102.91
2014/04/08,103.29
2014/04/09,103.48
2014/04/10,103.76
2014/04/11,103.75
2014/04/12,103.75
2014/04/13,103.75
2014/04/14,103.75
2014/04/15,103.65
2014/04/16,103.65
2014/04/17,103.74
2014/04/18,103.74
2014/04/19,103.74
2014/04/20,103.74
2014/04/21,103.74
2014/04/22,103.45
2014/04/23,103.35
2014/04/24,103.35
2014/04/25,103.54
2014/04/26,103.54
2014/04/27,103.54
2014/04/28,103.53
2014/04/29,103.53
2014/04/30,103.63
2014/05/01,103.63
2014/05/02,103.81
2014/05/03,103.81
2014/05/04,103.81
2014/05/05,103.99
2014/05/06,103.99
2014/05/07,104.27
2014/05/08,104.46
2014/05/09,104.37
2014/05/10,104.37
2014/05/11,104.37
2014/05/12,104.27
2014/05/13,104.26
2014/05/14,104.54
2014/05/15,104.63
2014/05/16,104.73
2014/05/17,104.73
2014/05/18,104.73
2014/05/19,104.81
2014/05/20,104.53
2014/05/21,104.53
2014/05/22,104.53
2014/05/23,104.43
2014/05/24,104.43
2014/05/25,104.43
2014/05/26,104.52
2014/05/27,104.42
2014/05/28,104.52
2014/05/29,104.8
2014/05/30,104.8
2014/05/31,104.8
2014/06/01,104.8
2014/06/02,104.8
2014/06/03,104.41
2014/06/04,104.22
2014/06/05,104.31
2014/06/06,104.59
2014/06/07,104.59
2014/06/08,104.59
2014/06/09,104.59
2014/06/10,104.59
2014/06/11,104.58
2014/06/12,104.68
2014/06/13,104.67
2014/06/14,104.67
2014/06/15,104.67
2014/06/16,104.76
2014/06/17,104.57
2014/06/18,104.48
2014/06/19,104.85
2014/06/20,104.66
2014/06/21,104.66
2014/06/22,104.66
2014/06/23,104.85
2014/06/24,104.84
2014/06/25,104.84
2014/06/26,105.03
2014/06/27,105.22
2014/06/28,105.22
2014/06/29,105.22
2014/06/30,105.31
2014/07/01,105.31
2014/07/02,105.4
2014/07/03,105.2
2014/07/04,105.2
2014/07/05,105.2
2014/07/06,105.2
2014/07/07,105.2
2014/07/08,105.38
2014/07/09,105.48
2014/07/10,105.57
2014/07/11,105.57
2014/07/12,105.57
2014/07/13,105.57
2014/07/14,105.66
2014/07/15,105.47
2014/07/16,105.46
2014/07/17,105.56
2014/07/18,105.65
2014/07/19,105.65
2014/07/20,105.65
2014/07/21,105.83
