Date,中港基金_Price
2015/11/24,131.05
2015/11/25,130.78
2015/11/26,130.75
2015/11/27,128.09
2015/11/28,128.09
2015/11/29,128.09
2015/11/30,127.46
2015/12/01,129.63
2015/12/02,130.27
2015/12/03,129.69
2015/12/04,128.7
2015/12/05,128.7
2015/12/06,128.7
2015/12/07,128.83
2015/12/08,126.64
2015/12/09,125.98
2015/12/10,125.25
2015/12/11,124.01
2015/12/12,124.01
2015/12/13,124.01
2015/12/14,123.33
2015/12/15,123.19
2015/12/16,125.69
2015/12/17,126.65
2015/12/18,126.11
2015/12/19,126.11
2015/12/20,126.11
2015/12/21,126.41
2015/12/22,126.32
2015/12/23,127.57
2015/12/24,128.29
2015/12/25,128.29
2015/12/26,128.29
2015/12/27,128.29
2015/12/28,126.86
2015/12/29,127.33
2015/12/30,126.84
2015/12/31,126.54
2016/01/01,126.54
2016/01/02,126.54
2016/01/03,126.54
2016/01/04,122.7
2016/01/05,122.24
2016/01/06,120.86
2016/01/07,117.21
2016/01/08,118.11
2016/01/09,118.11
2016/01/10,118.11
2016/01/11,114.48
2016/01/12,113.37
2016/01/13,114.92
2016/01/14,114.14
2016/01/15,111.99
2016/01/16,111.99
2016/01/17,111.99
2016/01/18,110.6
2016/01/19,112.94
2016/01/20,108.45
2016/01/21,106.62
2016/01/22,109.88
2016/01/23,109.88
2016/01/24,109.88
2016/01/25,111.06
2016/01/26,107.97
2016/01/27,109.02
2016/01/28,110.07
2016/01/29,112.6
2016/01/30,112.6
2016/01/31,112.6
2016/02/01,111.89
2016/02/02,111.14
2016/02/03,108.74
2016/02/04,109.81
2016/02/05,110.46
2016/02/06,110.46
2016/02/07,110.46
2016/02/08,110.46
2016/02/09,110.46
2016/02/10,110.46
2016/02/11,105.88
2016/02/12,104.68
2016/02/13,104.68
2016/02/14,104.68
2016/02/15,108.32
2016/02/16,109.51
2016/02/17,108.33
2016/02/18,111.06
2016/02/19,110.34
2016/02/20,110.34
2016/02/21,110.34
2016/02/22,111.66
2016/02/23,111.33
2016/02/24,109.82
2016/02/25,108.06
2016/02/26,110.81
2016/02/27,110.81
2016/02/28,110.81
2016/02/29,109.18
2016/03/01,110.74
2016/03/02,114.48
2016/03/03,114.26
2016/03/04,115.87
2016/03/05,115.87
2016/03/06,115.87
2016/03/07,116.28
2016/03/08,115.26
2016/03/09,115.09
2016/03/10,115.06
2016/03/11,116.31
2016/03/12,116.31
2016/03/13,116.31
2016/03/14,117.55
2016/03/15,116.89
2016/03/16,116.56
2016/03/17,118.02
2016/03/18,119.2
2016/03/19,119.2
2016/03/20,119.2
2016/03/21,119.07
2016/03/22,118.99
2016/03/23,118.92
2016/03/24,117.09
2016/03/25,117.09
2016/03/26,117.09
2016/03/27,117.09
2016/03/28,117.09
2016/03/29,117.16
2016/03/30,120.36
2016/03/31,119.91
2016/04/01,118.09
2016/04/02,118.09
2016/04/03,118.09
2016/04/04,118.09
2016/04/05,116.06
2016/04/06,116.47
2016/04/07,116.65
2016/04/08,117.26
2016/04/09,117.26
2016/04/10,117.26
2016/04/11,118.22
2016/04/12,118.27
2016/04/13,122.4
2016/04/14,123.43
2016/04/15,122.91
2016/04/16,122.91
2016/04/17,122.91
2016/04/18,121.86
2016/04/19,123.65
2016/04/20,122.21
2016/04/21,124.55
2016/04/22,123.56
2016/04/23,123.56
2016/04/24,123.56
2016/04/25,122.01
2016/04/26,122.8
2016/04/27,122.61
2016/04/28,122.73
2016/04/29,120.78
2016/04/30,120.78
